  2011          97     0.28952  0.25291  0.50    7544    1908    6590    21595   2.86
  2011          98     0.31819  0.27452  0.50    5636    1547    4863    15004   2.66
  2011          99     0.34837  0.29669  0.50    4089    1213    3482    10142   2.48
  2011         100     0.37989  0.31925  0.50    2876     918    2417     6659   2.32
  2011         101     0.41252  0.34198  0.50    1958     669    1623     4243   2.17
  2011         102     0.44600  0.36468  0.50    1288     470    1053     2620   2.03
  2011         103     0.48005  0.38713  0.50     818     317     660     1566   1.91
  2011         104     0.51434  0.40913  0.50     502     205     399      906   1.81
  2011         105     0.54856  0.43049  0.50     296     128     233      507   1.71
  2011         106     0.58238  0.45104  0.50     169      76     131      275   1.63
  2011         107     0.61550  0.47066  0.50      93      44      71      144   1.55
  2011         108     0.64762  0.48921  0.50      49      24      37       73   1.49
  2011         109     0.67851  0.50663  0.50      25      13      19       36   1.44
